tweet_id,name,stage,rating,jpg_url,breed,favorites,retweets
892420643555336193,Phineas,None,1.3,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,Unidentifiable,38850,8608
892177421306343426,Tilly,None,1.3,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,Chihuahua,33279,6321
891815181378084864,Archie,None,1.2,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,Chihuahua,25073,4195
891689557279858688,Darla,None,1.3,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,Labrador_retriever,42236,8720
891327558926688256,Franklin,None,1.2,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,basset,40377,9489
891087950875897856,None,None,1.3,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,Chesapeake_Bay_retriever,20243,3138
890971913173991426,Jax,None,1.3,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,Appenzeller,11868,2092
890729181411237888,None,None,1.3,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,Pomeranian,65643,19081
890609185150312448,Zoey,None,1.3,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,Irish_terrier,27808,4308
890240255349198849,Cassie,doggo,1.4,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,Pembroke,31988,7484
890006608113172480,Koda,None,1.3,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,Samoyed,30697,7404
889880896479866881,Bruno,None,1.3,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,French_bulldog,27827,5013
889665388333682689,None,puppo,1.3,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,Pembroke,48181,10155
889638837579907072,Ted,None,1.2,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,French_bulldog,27211,4585
889531135344209921,Stuart,puppo,1.3,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,golden_retriever,15118,2256
889278841981685760,Oliver,None,1.3,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,whippet,25334,5485
888917238123831296,Jim,None,1.2,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,golden_retriever,29125,4539
888804989199671297,Zeke,None,1.3,https://pbs.twimg.com/media/DFWra-3VYAA2piG.jpg,golden_retriever,25631,4389
888554962724278272,Ralphus,None,1.3,https://pbs.twimg.com/media/DFTH_O-UQAACu20.jpg,Siberian_husky,19940,3617
888078434458587136,Gerald,None,1.2,https://pbs.twimg.com/media/DFMWn56WsAAkA7B.jpg,French_bulldog,21792,3530
887705289381826560,Jeffrey,None,1.3,https://pbs.twimg.com/media/DFHDQBbXgAEqY7t.jpg,basset,30235,5441
887517139158093824,such,None,1.4,https://pbs.twimg.com/ext_tw_video_thumb/887517108413886465/pu/img/WanJKwssZj4VJvL9.jpg,Unidentifiable,46312,11765
887473957103951883,Canela,None,1.3,https://pbs.twimg.com/media/DFDw2tyUQAAAFke.jpg,Pembroke,69219,18406
887343217045368832,None,None,1.3,https://pbs.twimg.com/ext_tw_video_thumb/887343120832229379/pu/img/6HSuFrW1lzI_9Mht.jpg,Mexican_hairless,33743,10498
887101392804085760,None,None,1.2,https://pbs.twimg.com/media/DE-eAq6UwAA-jaE.jpg,Samoyed,30591,6014
886983233522544640,Maya,None,1.3,https://pbs.twimg.com/media/DE8yicJW0AAAvBJ.jpg,Chihuahua,35209,7835
886736880519319552,Mingus,None,1.3,https://pbs.twimg.com/media/DE5Se8FXcAAJFx4.jpg,kuvasz,12089,3326
